Show_Name,Date_Close,Date_Open,Year,Days Open,Prod_Type,Show_Type,Theatre,,,,
Sylvia,1/3/2016,10/27/2015,2015,68,Original Production,Play,Cort Theatre,,,,
Dames at Sea,1/3/2016,10/22/2015,2015,73,Revival,Musical,Hayes Theatre,,,,
The Gin Game,1/10/2016,10/14/2015,2015,88,Original Production,Play,John Golden Theatre,,,,
Fool for Love,12/6/2015,10/8/2015,2015,59,Revival,Play,Samuel J. Friedman Theatre,,,,
Old Times,11/29/2015,10/6/2015,2015,54,Original Production,Play,American Airlines Theatre,,,,
Spring Awakening,1/24/2016,9/27/2015,2015,119,Premiere,Musical,Brooks Atkinson Theatre,,,,
Hamilton,,8/6/2015,2015,,Production,Musical,Richard Rodgers Theatre,,,,
Amazing Grace,10/25/2015,7/16/2015,2015,101,Original Production,Musical,Nederlander Theatre,,,,
Penn & Teller on Broadway,8/16/2015,7/7/2015,2015,40,Original Production,Special,Marquis Theatre,,,,
An Act of God,8/2/2015,5/28/2015,2015,66,Original Production,Play,Studio 54,,,,
The Visit,6/14/2015,4/23/2015,2015,52,Revival,Musical,Lyceum Theatre,,,,
Airline Highway,6/7/2015,4/23/2015,2015,45,Revival,Play,Samuel J. Friedman Theatre,,,,
Something Rotten!,1/8/2017,4/22/2015,2015,627,Premiere,Musical,St. James Theatre,,,,
Doctor Zhivago,5/10/2015,4/21/2015,2015,19,Original Production,Musical,Broadway Theatre,,,,
Living on Love,5/3/2015,4/20/2015,2015,13,Original Production,Play,Longacre Theatre,,,,
Fun Home,9/10/2016,4/19/2015,2015,510,Revival,Musical,Circle in the Square,,,,
The King and I,6/26/2016,4/16/2015,2015,437,Revival,Musical,Vivian Beaumont Theatre,,,,
Finding Neverland,8/21/2016,4/15/2015,2015,494,Revival,Musical,Lunt-Fontanne Theatre,,,,
It Shoulda Been You,8/9/2015,4/14/2015,2015,117,Premiere,Musical,Brooks Atkinson Theatre,,,,
An American in Paris,10/9/2016,4/12/2015,2015,546,Production,Musical,Palace Theatre,,,,
Wolf Hall: Parts 1 & 2,7/5/2015,4/9/2015,2015,87,Original Production,Play,Winter Garden Theatre,,,,
Gigi,6/21/2015,4/8/2015,2015,74,Revival,Musical,Neil Simon Theatre,,,,
Hand to God,1/3/2016,4/7/2015,2015,271,Revival,Play,Booth Theatre,,,,
Skylight,6/14/2015,4/2/2015,2015,73,Original Production,Play,John Golden Theatre,,,,
The Heidi Chronicles,5/3/2015,3/19/2015,2015,45,Revival,Play,Music Box Theatre,,,,
On the Twentieth Century,7/19/2015,3/15/2015,2015,126,Original Production,Musical,American Airlines Theatre,,,,
The Audience,6/28/2015,3/8/2015,2015,112,Original Production,Play,Gerald Schoenfeld Theatre,,,,
Fish In the Dark,8/1/2015,3/5/2015,2015,149,Premiere,Play,Cort Theatre,,,,
Honeymoon in Vegas,4/5/2015,1/15/2015,2015,80,Premiere,Musical,Nederlander Theatre,,,,
Constellations,3/15/2015,1/13/2015,2015,61,Premiere,Play,Samuel J. Friedman Theatre,,,,
The Elephant Man,2/21/2015,12/7/2014,2014,76,Production,Play,Booth Theatre,,,,
The Illusionists- Witness the Impossible,1/4/2015,12/4/2014,2014,31,Production,Special,Marquis Theatre,,,,
A Delicate Balance,2/22/2015,11/20/2014,2014,94,Revival,Play,John Golden Theatre,,,,
Side Show,1/4/2015,11/17/2014,2014,48,Premiere,Musical,St. James Theatre,,,,
The River,2/8/2015,11/16/2014,2014,84,Production,Play,Circle in the Square,,,,
The Real Thing,1/4/2015,10/30/2014,2014,66,Revival,Play,American Airlines Theatre,,,,
The Last Ship,1/24/2015,10/26/2014,2014,90,Premiere,Musical,Neil Simon Theatre,,,,
Disgraced,3/1/2015,10/23/2014,2014,129,Premiere,Play,Lyceum Theatre,,,,
