,Week,Year,Gross,Gross_Diff,Pot_Gross,Potential_Gross_Percent,Average_Paid_Ticket,Top_Ticket,Seats_Sold,Total_Seats,Performances,Capacity,Capacity_Diff,Show_Name,,,,
7,2/21/2010,2010,"$455,335 ","$455,335 ","$933,200 ",48.79%,$62.03 ,$200.00 ,7340,8568,8,85.70%,0.00%,A Behanding In Spokane,2010,,,
8,2/28/2010,2010,"$413,686 ","($41,649)","$933,200 ",44.33%,$60.16 ,$200.00 ,6876,8568,8,80.30%,80.30%,A Behanding In Spokane,2010,,,
9,3/7/2010,2010,"$432,187 ","$18,501 ","$933,200 ",46.31%,$55.95 ,$200.00 ,7725,8568,8,90.20%,9.90%,A Behanding In Spokane,2010,,,
10,3/14/2010,2010,"$554,397 ","$122,210 ","$940,690 ",58.94%,$74.69 ,$200.00 ,7423,8568,8,86.60%,-3.60%,A Behanding In Spokane,2010,,,
11,3/21/2010,2010,"$539,372 ","($15,025)","$940,690 ",57.34%,$77.34 ,$200.00 ,6974,8568,8,81.40%,-5.20%,A Behanding In Spokane,2010,,,
12,3/28/2010,2010,"$489,726 ","($49,646)","$940,690 ",52.06%,$78.78 ,$200.00 ,6216,8568,8,72.50%,-8.90%,A Behanding In Spokane,2010,,,
13,4/4/2010,2010,"$524,859 ","$35,133 ","$940,690 ",55.80%,$76.87 ,$200.00 ,6828,8568,8,79.70%,7.20%,A Behanding In Spokane,2010,,,
14,4/11/2010,2010,"$489,587 ","($35,272)","$940,690 ",52.05%,$75.74 ,$200.00 ,6464,8568,8,75.40%,-4.30%,A Behanding In Spokane,2010,,,
15,4/18/2010,2010,"$402,160 ","($87,427)","$940,690 ",42.75%,$75.52 ,$200.00 ,5325,8568,8,62.10%,-13.30%,A Behanding In Spokane,2010,,,
16,4/25/2010,2010,"$415,523 ","$13,363 ","$940,690 ",44.17%,$74.86 ,$200.00 ,5551,8568,8,64.80%,2.70%,A Behanding In Spokane,2010,,,
17,5/2/2010,2010,"$384,849 ","($30,674)","$940,690 ",40.91%,$69.40 ,$200.00 ,5545,8568,8,64.70%,-0.10%,A Behanding In Spokane,2010,,,
18,5/9/2010,2010,"$414,898 ","$30,049 ","$940,690 ",44.11%,$73.17 ,$200.00 ,5670,8568,8,66.20%,1.50%,A Behanding In Spokane,2010,,,
19,5/16/2010,2010,"$432,442 ","$17,544 ","$940,690 ",45.97%,$74.30 ,$200.00 ,5820,8568,8,67.90%,1.70%,A Behanding In Spokane,2010,,,
20,5/23/2010,2010,"$442,947 ","$10,505 ","$940,690 ",47.09%,$71.03 ,$200.00 ,6236,8568,8,72.80%,4.90%,A Behanding In Spokane,2010,,,
21,5/30/2010,2010,"$428,934 ","($14,013)","$940,690 ",45.60%,$72.26 ,$200.00 ,5936,8568,8,69.30%,-3.50%,A Behanding In Spokane,2010,,,
22,6/6/2010,2010,"$483,113 ","$54,179 ","$940,690 ",51.36%,$77.40 ,$200.00 ,6242,8568,8,72.90%,3.60%,A Behanding In Spokane,2010,,,
7,1/6/2008,2008,"$259,101 ","($61,485)","$599,676 ",43.21%,$73.90 ,$251.50 ,3506,7592,8,46.20%,-11.20%,A Bronx Tale,2008,,,
8,1/13/2008,2008,"$294,854 ","$35,753 ","$524,507 ",56.22%,$76.99 ,$251.50 ,3830,6643,7,57.70%,11.50%,A Bronx Tale,2008,,,
9,1/20/2008,2008,"$268,671 ","($26,183)","$524,507 ",51.22%,$71.00 ,$251.50 ,3784,6643,7,57.00%,-0.70%,A Bronx Tale,2008,,,
10,1/27/2008,2008,"$271,505 ","$2,834 ","$524,507 ",51.76%,$69.98 ,$251.50 ,3880,6643,7,58.40%,1.40%,A Bronx Tale,2008,,,
11,2/3/2008,2008,"$233,266 ","($38,239)","$524,507 ",44.47%,$67.57 ,$251.50 ,3452,6643,7,52.00%,-6.40%,A Bronx Tale,2008,,,
12,2/10/2008,2008,"$257,830 ","$24,564 ","$524,507 ",49.16%,$68.41 ,$251.50 ,3769,6643,7,56.70%,4.70%,A Bronx Tale,2008,,,
13,2/17/2008,2008,"$317,358 ","$59,528 ","$599,676 ",52.92%,$66.37 ,$251.50 ,4782,7592,8,63.00%,6.30%,A Bronx Tale,2008,,,
14,2/24/2008,2008,"$319,717 ","$2,359 ","$599,676 ",53.32%,$67.28 ,$251.50 ,4752,6643,7,71.50%,8.50%,A Bronx Tale,2008,,,
7,1/7/2018,2018,"$770,784 ","($474,010)","$921,066 ",83.68%,$99.44 ,$225.00 ,7751,8352,8,92.80%,-3.40%,A Bronx Tale The Musical,2018,,,
8,1/14/2018,2018,"$830,344 ","$59,560 ","$932,228 ",89.07%,$104.34 ,$250.00 ,7958,8352,8,95.30%,2.50%,A Bronx Tale The Musical,2018,,,
9,1/21/2018,2018,"$726,004 ","($104,340)","$921,066 ",78.82%,$96.54 ,$250.00 ,7520,8352,8,90.00%,-5.30%,A Bronx Tale The Musical,2018,,,
10,1/28/2018,2018,"$748,029 ","$22,025 ","$921,066 ",81.21%,$95.78 ,$250.00 ,7810,8352,8,93.50%,3.50%,A Bronx Tale The Musical,2018,,,
11,2/4/2018,2018,"$683,941 ","($64,088)","$921,066 ",74.26%,$92.95 ,$225.00 ,7358,8352,8,88.10%,-5.40%,A Bronx Tale The Musical,2018,,,
12,2/11/2018,2018,"$607,940 ","($76,001)","$921,066 ",66.00%,$93.29 ,$225.00 ,6517,8352,8,78.00%,-10.10%,A Bronx Tale The Musical,2018,,,
13,2/18/2018,2018,"$780,480 ","$172,540 ","$932,228 ",83.72%,$100.42 ,$225.00 ,7772,8352,8,93.10%,15.10%,A Bronx Tale The Musical,2018,,,
14,2/25/2018,2018,"$709,918 ","($70,562)","$921,066 ",77.08%,$89.55 ,$225.00 ,7928,8352,8,94.90%,1.80%,A Bronx Tale The Musical,2018,,,
15,3/4/2018,2018,"$570,439 ","($139,479)","$921,066 ",61.93%,$89.13 ,$225.00 ,6400,8352,8,76.60%,-18.30%,A Bronx Tale The Musical,2018,,,
16,3/11/2018,2018,"$592,040 ","$21,601 ","$921,066 ",64.28%,$90.39 ,$225.00 ,6550,8352,8,78.40%,1.80%,A Bronx Tale The Musical,2018,,,
17,3/18/2018,2018,"$653,823 ","$61,783 ","$921,066 ",70.99%,$83.94 ,$225.00 ,7789,8352,8,93.30%,14.90%,A Bronx Tale The Musical,2018,,,
18,3/25/2018,2018,"$599,740 ","($54,083)","$921,066 ",65.11%,$92.72 ,$250.00 ,6468,8352,8,77.40%,-15.90%,A Bronx Tale The Musical,2018,,,
19,4/1/2018,2018,"$710,184 ","$110,444 ","$921,066 ",77.10%,$88.77 ,$225.00 ,8000,8352,8,95.80%,18.40%,A Bronx Tale The Musical,2018,,,
20,4/8/2018,2018,"$757,141 ","$46,957 ","$921,066 ",82.20%,$93.36 ,$225.00 ,8110,8352,8,97.10%,1.30%,A Bronx Tale The Musical,2018,,,
21,4/15/2018,2018,"$597,414 ","($159,727)","$921,066 ",64.86%,$89.18 ,$225.00 ,6699,8352,8,80.20%,-16.90%,A Bronx Tale The Musical,2018,,,
22,4/22/2018,2018,"$582,857 ","($14,557)","$921,066 ",63.28%,$89.71 ,$225.00 ,6497,8352,8,77.80%,-2.40%,A Bronx Tale The Musical,2018,,,
23,4/29/2018,2018,"$596,234 ","$13,377 ","$921,066 ",64.73%,$88.41 ,$225.00 ,6744,8352,8,80.70%,2.90%,A Bronx Tale The Musical,2018,,,
24,5/6/2018,2018,"$469,533 ","($126,701)","$921,066 ",50.98%,$88.69 ,$225.00 ,5294,8352,8,63.40%,-17.30%,A Bronx Tale The Musical,2018,,,
25,5/13/2018,2018,"$593,411 ","$123,878 ","$921,066 ",64.43%,$88.90 ,$225.00 ,6675,8352,8,79.90%,16.50%,A Bronx Tale The Musical,2018,,,
26,5/20/2018,2018,"$618,139 ","$24,728 ","$921,066 ",67.11%,$83.80 ,$225.00 ,7376,8352,8,88.30%,8.40%,A Bronx Tale The Musical,2018,,,
27,5/27/2018,2018,"$628,532 ","$10,393 ","$932,228 ",67.42%,$89.47 ,$225.00 ,7025,8352,8,84.10%,-4.20%,A Bronx Tale The Musical,2018,,,
28,6/3/2018,2018,"$542,167 ","($86,365)","$921,066 ",58.86%,$83.27 ,$225.00 ,6511,8352,8,78.00%,-6.10%,A Bronx Tale The Musical,2018,,,
29,6/10/2018,2018,"$585,891 ","$43,724 ","$921,066 ",63.61%,$88.17 ,$225.00 ,6645,8352,8,79.60%,1.60%,A Bronx Tale The Musical,2018,,,
30,6/17/2018,2018,"$599,470 ","$13,579 ","$921,066 ",65.08%,$84.50 ,$225.00 ,7094,8352,8,84.90%,5.30%,A Bronx Tale The Musical,2018,,,
31,6/24/2018,2018,"$558,776 ","($40,694)","$921,066 ",60.67%,$83.04 ,$225.00 ,6729,8352,8,80.60%,-4.30%,A Bronx Tale The Musical,2018,,,
32,7/1/2018,2018,"$543,182 ","($15,594)","$921,066 ",58.97%,$83.72 ,$225.00 ,6488,8352,8,77.70%,-2.90%,A Bronx Tale The Musical,2018,,,
33,7/8/2018,2018,"$524,500 ","($18,682)","$932,228 ",56.26%,$80.61 ,$225.00 ,6507,8352,8,77.90%,0.20%,A Bronx Tale The Musical,2018,,,
34,7/15/2018,2018,"$582,998 ","$58,498 ","$921,066 ",63.30%,$84.54 ,$225.00 ,6896,8352,8,82.60%,4.70%,A Bronx Tale The Musical,2018,,,
35,7/22/2018,2018,"$667,360 ","$84,362 ","$921,066 ",72.46%,$86.12 ,$225.00 ,7749,8352,8,92.80%,10.20%,A Bronx Tale The Musical,2018,,,
36,7/29/2018,2018,"$737,653 ","$70,293 ","$921,066 ",80.09%,$91.30 ,$225.00 ,8079,8352,8,96.70%,3.90%,A Bronx Tale The Musical,2018,,,
37,8/5/2018,2018,"$799,426 ","$61,773 ","$921,066 ",86.79%,$96.53 ,$225.00 ,8282,8352,8,99.20%,2.50%,A Bronx Tale The Musical,2018,,,
7,3/30/2008,2008,"$400,926 ","$400,926 ","$606,209 ",66.14%,$69.82 ,$199.50 ,5742,6531,7,87.90%,0.00%,A Catered Affair,2008,,,
8,4/6/2008,2008,"$384,265 ","($16,661)","$606,209 ",63.39%,$72.39 ,$199.50 ,5308,6531,7,81.30%,81.30%,A Catered Affair,2008,,,
9,4/13/2008,2008,"$371,887 ","($12,378)","$606,209 ",61.35%,$70.25 ,$199.50 ,5294,6531,7,81.10%,-0.20%,A Catered Affair,2008,,,
10,4/20/2008,2008,"$341,232 ","($30,655)","$689,211 ",49.51%,$69.02 ,$199.50 ,4944,7464,8,66.20%,-14.90%,A Catered Affair,2008,,,
11,4/27/2008,2008,"$424,552 ","$83,320 ","$689,211 ",61.60%,$73.06 ,$199.50 ,5811,7464,8,77.90%,11.70%,A Catered Affair,2008,,,
12,5/4/2008,2008,"$431,151 ","$6,599 ","$689,211 ",62.56%,$69.78 ,$199.50 ,6179,7464,8,82.80%,4.90%,A Catered Affair,2008,,,
13,5/11/2008,2008,"$423,688 ","($7,463)","$689,211 ",61.47%,$71.85 ,$199.50 ,5897,7464,8,79.00%,-3.80%,A Catered Affair,2008,,,
14,5/18/2008,2008,"$439,329 ","$15,641 ","$689,211 ",63.74%,$72.74 ,$199.50 ,6040,7464,8,80.90%,1.90%,A Catered Affair,2008,,,
15,5/25/2008,2008,"$420,055 ","($19,274)","$689,211 ",60.95%,$70.11 ,$199.50 ,5991,7464,8,80.30%,-0.60%,A Catered Affair,2008,,,
16,6/1/2008,2008,"$386,287 ","($33,768)","$689,211 ",56.05%,$70.55 ,$199.50 ,5475,7464,8,73.40%,-6.90%,A Catered Affair,2008,,,
17,6/8/2008,2008,"$412,446 ","$26,159 ","$689,211 ",59.84%,$71.27 ,$199.50 ,5787,7464,8,77.50%,4.10%,A Catered Affair,2008,,,
18,6/15/2008,2008,"$378,899 ","($33,547)","$689,211 ",54.98%,$68.41 ,$199.50 ,5539,7464,8,74.20%,-3.30%,A Catered Affair,2008,,,
19,6/22/2008,2008,"$292,792 ","($86,107)","$689,211 ",42.48%,$65.43 ,$199.50 ,4475,7464,8,60.00%,-14.20%,A Catered Affair,2008,,,
20,6/29/2008,2008,"$298,085 ","$5,293 ","$689,211 ",43.25%,$64.80 ,$199.50 ,4600,7464,8,61.60%,1.60%,A Catered Affair,2008,,,
21,7/6/2008,2008,"$244,651 ","($53,434)","$689,211 ",35.50%,$55.00 ,$199.50 ,4448,7464,8,59.60%,-2.00%,A Catered Affair,2008,,,
22,7/13/2008,2008,"$244,548 ",($103),"$689,211 ",35.48%,$60.37 ,$199.50 ,4051,7464,8,54.30%,-5.30%,A Catered Affair,2008,,,
23,7/20/2008,2008,"$267,198 ","$22,650 ","$689,211 ",38.77%,$56.95 ,$199.50 ,4692,7464,8,62.90%,8.60%,A Catered Affair,2008,,,
24,7/27/2008,2008,"$291,282 ","$24,084 ","$689,211 ",42.26%,$55.28 ,$199.50 ,5269,7464,8,70.60%,7.70%,A Catered Affair,2008,,,
7,4/15/1990,1990,"$20,776 ","$20,776 ",$0 ,,$0.00 ,$0.00 ,1944,0,7,0.00%,0.00%,A Change In The Heir,1990,,,
8,4/22/1990,1990,"$16,909 ","($3,867)",$0 ,,$0.00 ,$0.00 ,1750,0,8,0.00%,0.00%,A Change In The Heir,1990,,,
9,4/29/1990,1990,"$29,921 ","$13,012 ",$0 ,,$0.00 ,$0.00 ,1904,0,8,0.00%,0.00%,A Change In The Heir,1990,,,
10,5/6/1990,1990,"$13,761 ","($16,160)",$0 ,,$0.00 ,$0.00 ,1846,0,8,0.00%,0.00%,A Change In The Heir,1990,,,
11,5/13/1990,1990,"$4,390 ","($9,371)",$0 ,,$0.00 ,$0.00 ,601,0,8,0.00%,0.00%,A Change In The Heir,1990,,,
7,1/6/2008,2008,"$502,712 ","($228,801)","$792,383 ",63.44%,$65.58 ,$301.25 ,7666,8552,8,89.60%,-10.50%,A Chorus Line,2008,,,
8,1/13/2008,2008,"$349,471 ","($153,241)","$792,383 ",44.10%,$61.64 ,$301.25 ,5670,8552,8,66.30%,-23.30%,A Chorus Line,2008,,,
9,1/20/2008,2008,"$378,417 ","$28,946 ","$792,383 ",47.76%,$66.35 ,$301.25 ,5703,8552,8,66.70%,0.40%,A Chorus Line,2008,,,
10,1/27/2008,2008,"$302,599 ","($75,818)","$792,383 ",38.19%,$59.53 ,$301.25 ,5083,8552,8,59.40%,-7.30%,A Chorus Line,2008,,,
11,2/3/2008,2008,"$261,231 ","($41,368)","$792,383 ",32.97%,$59.87 ,$301.25 ,4363,8552,8,51.00%,-8.40%,A Chorus Line,2008,,,
12,2/10/2008,2008,"$331,333 ","$70,102 ","$792,383 ",41.81%,$60.85 ,$301.25 ,5445,8552,8,63.70%,12.70%,A Chorus Line,2008,,,
13,2/17/2008,2008,"$430,326 ","$98,993 ","$792,383 ",54.31%,$65.67 ,$301.25 ,6553,8552,8,76.60%,12.90%,A Chorus Line,2008,,,
14,2/24/2008,2008,"$340,510 ","($89,816)","$792,383 ",42.97%,$61.85 ,$301.25 ,5505,8552,8,64.40%,-12.20%,A Chorus Line,2008,,,
15,3/2/2008,2008,"$303,853 ","($36,657)","$792,383 ",38.35%,$58.81 ,$301.25 ,5167,8552,8,60.40%,-4.00%,A Chorus Line,2008,,,
16,3/9/2008,2008,"$326,495 ","$22,642 ","$792,383 ",41.20%,$61.36 ,$301.25 ,5321,8552,8,62.20%,1.80%,A Chorus Line,2008,,,
17,3/16/2008,2008,"$374,578 ","$48,083 ","$792,383 ",47.27%,$62.17 ,$301.25 ,6025,8552,8,70.50%,8.30%,A Chorus Line,2008,,,
18,3/23/2008,2008,"$526,573 ","$151,995 ","$792,383 ",66.45%,$66.69 ,$301.25 ,7896,8552,8,92.30%,21.80%,A Chorus Line,2008,,,
19,3/30/2008,2008,"$511,919 ","($14,654)","$792,383 ",64.61%,$63.89 ,$301.25 ,8012,8552,8,93.70%,1.40%,A Chorus Line,2008,,,
20,4/6/2008,2008,"$320,644 ","($191,275)","$792,383 ",40.47%,$61.32 ,$301.25 ,5229,8552,8,61.10%,-32.60%,A Chorus Line,2008,,,
21,4/13/2008,2008,"$299,744 ","($20,900)","$792,383 ",37.83%,$63.13 ,$301.25 ,4748,8552,8,55.50%,-5.60%,A Chorus Line,2008,,,
22,4/20/2008,2008,"$350,974 ","$51,230 ","$792,383 ",44.29%,$69.53 ,$301.25 ,5048,8552,8,59.00%,3.50%,A Chorus Line,2008,,,
23,4/27/2008,2008,"$482,117 ","$131,143 ","$792,383 ",60.84%,$67.58 ,$301.25 ,7134,8552,8,83.40%,24.40%,A Chorus Line,2008,,,
24,5/4/2008,2008,"$367,139 ","($114,978)","$792,383 ",46.33%,$69.15 ,$301.25 ,5309,8552,8,62.10%,-21.30%,A Chorus Line,2008,,,
25,5/11/2008,2008,"$377,540 ","$10,401 ","$792,383 ",47.65%,$71.36 ,$301.25 ,5291,8552,8,61.90%,-0.20%,A Chorus Line,2008,,,
26,5/18/2008,2008,"$335,752 ","($41,788)","$792,383 ",42.37%,$63.21 ,$301.25 ,5312,8552,8,62.10%,0.20%,A Chorus Line,2008,,,
27,5/25/2008,2008,"$382,037 ","$46,285 ","$792,383 ",48.21%,$64.34 ,$301.25 ,5938,8552,8,69.40%,7.30%,A Chorus Line,2008,,,
28,6/1/2008,2008,"$271,588 ","($110,449)","$792,383 ",34.27%,$64.86 ,$301.25 ,4187,8552,8,49.00%,-20.40%,A Chorus Line,2008,,,
29,6/8/2008,2008,"$332,002 ","$60,414 ","$792,383 ",41.90%,$68.51 ,$301.25 ,4846,8552,8,56.70%,7.70%,A Chorus Line,2008,,,
30,6/15/2008,2008,"$383,387 ","$51,385 ","$792,383 ",48.38%,$69.13 ,$301.25 ,5546,8552,8,64.90%,8.20%,A Chorus Line,2008,,,
31,6/22/2008,2008,"$452,386 ","$68,999 ","$792,383 ",57.09%,$70.04 ,$200.00 ,6459,8552,8,75.50%,10.60%,A Chorus Line,2008,,,
32,6/29/2008,2008,"$485,504 ","$33,118 ","$792,383 ",61.27%,$67.11 ,$200.00 ,7234,8552,8,84.60%,9.10%,A Chorus Line,2008,,,
33,7/6/2008,2008,"$475,186 ","($10,318)","$792,383 ",59.97%,$60.60 ,$200.00 ,7841,8552,8,91.70%,7.10%,A Chorus Line,2008,,,
34,7/13/2008,2008,"$438,336 ","($36,850)","$792,383 ",55.32%,$68.87 ,$200.00 ,6365,8552,8,74.40%,-17.30%,A Chorus Line,2008,,,
35,7/20/2008,2008,"$470,247 ","$31,911 ","$792,383 ",59.35%,$67.23 ,$200.00 ,6995,8552,8,81.80%,7.40%,A Chorus Line,2008,,,
36,7/27/2008,2008,"$505,730 ","$35,483 ","$792,383 ",63.82%,$68.57 ,$200.00 ,7375,8552,8,86.20%,4.40%,A Chorus Line,2008,,,
37,8/3/2008,2008,"$514,810 ","$9,080 ","$792,383 ",64.97%,$68.82 ,$200.00 ,7481,8552,8,87.50%,1.30%,A Chorus Line,2008,,,
38,8/10/2008,2008,"$565,734 ","$50,924 ","$792,383 ",71.40%,$70.24 ,$200.00 ,8054,8552,8,94.20%,6.70%,A Chorus Line,2008,,,
39,8/17/2008,2008,"$547,804 ","($17,930)","$792,383 ",69.13%,$76.29 ,$200.00 ,7181,8552,8,84.00%,-10.20%,A Chorus Line,2008,,,
7,1/7/1990,1990,"$146,322 ","($175,729)",$0 ,,$0.00 ,$0.00 ,5928,0,8,0.00%,0.00%,A Chorus Line Original,1990,,,
8,1/14/1990,1990,"$131,921 ","($14,401)",$0 ,,$0.00 ,$0.00 ,5529,0,8,0.00%,0.00%,A Chorus Line Original,1990,,,
9,1/21/1990,1990,"$108,451 ","($23,470)",$0 ,,$0.00 ,$0.00 ,4510,0,8,0.00%,0.00%,A Chorus Line Original,1990,,,
10,1/28/1990,1990,"$108,400 ",($51),$0 ,,$0.00 ,$0.00 ,4449,0,8,0.00%,0.00%,A Chorus Line Original,1990,,,
11,2/4/1990,1990,"$96,116 ","($12,284)",$0 ,,$0.00 ,$0.00 ,4167,0,8,0.00%,0.00%,A Chorus Line Original,1990,,,
12,2/11/1990,1990,"$104,711 ","$8,595 ",$0 ,,$0.00 ,$0.00 ,3934,0,8,0.00%,0.00%,A Chorus Line Original,1990,,,
13,2/18/1990,1990,"$163,854 ","$59,143 ",$0 ,,$0.00 ,$0.00 ,6221,0,8,0.00%,0.00%,A Chorus Line Original,1990,,,
14,2/25/1990,1990,"$228,718 ","$64,864 ",$0 ,,$0.00 ,$0.00 ,8875,0,8,0.00%,0.00%,A Chorus Line Original,1990,,,
15,3/4/1990,1990,"$218,872 ","($9,846)",$0 ,,$0.00 ,$0.00 ,7293,0,8,0.00%,0.00%,A Chorus Line Original,1990,,,
16,3/11/1990,1990,"$311,504 ","$92,632 ",$0 ,,$0.00 ,$0.00 ,9012,0,8,0.00%,0.00%,A Chorus Line Original,1990,,,
17,3/18/1990,1990,"$346,914 ","$35,410 ",$0 ,,$0.00 ,$0.00 ,10083,0,8,0.00%,0.00%,A Chorus Line Original,1990,,,
18,3/25/1990,1990,"$390,443 ","$43,529 ",$0 ,,$0.00 ,$0.00 ,10928,0,8,0.00%,0.00%,A Chorus Line Original,1990,,,
19,4/1/1990,1990,"$396,049 ","$5,606 ",$0 ,,$0.00 ,$0.00 ,11212,0,8,0.00%,0.00%,A Chorus Line Original,1990,,,
20,4/8/1990,1990,"$276,741 ","($119,308)",$0 ,,$0.00 ,$0.00 ,8164,0,8,0.00%,0.00%,A Chorus Line Original,1990,,,
21,4/15/1990,1990,"$399,265 ","$122,524 ",$0 ,,$0.00 ,$0.00 ,11006,0,8,0.00%,0.00%,A Chorus Line Original,1990,,,
22,4/22/1990,1990,"$406,407 ","$7,142 ",$0 ,,$0.00 ,$0.00 ,11128,0,8,0.00%,0.00%,A Chorus Line Original,1990,,,
23,4/29/1990,1990,"$420,407 ","$14,000 ",$0 ,,$0.00 ,$0.00 ,11113,0,8,0.00%,0.00%,A Chorus Line Original,1990,,,
7,12/30/2001,2001,"$819,397 ","$386,727 ","$913,747 ",89.67%,$68.25 ,$100.00 ,12005,12800,8,93.80%,93.80%,A Christmas Carol,2001,,,
7,11/11/2012,2012,"$461,281 ","$461,281 ","$1,145,493 ",40.27%,$63.85 ,$173.00 ,7225,10605,7,68.10%,0.00%,A Christmas Story,2012,,,
8,11/18/2012,2012,"$533,800 ","$72,519 ","$1,247,896 ",42.78%,$52.18 ,$173.00 ,10229,11768,8,86.90%,86.90%,A Christmas Story,2012,,,
9,11/25/2012,2012,"$1,104,312 ","$570,512 ","$1,570,580 ",70.31%,$92.31 ,$248.00 ,11963,13635,9,87.70%,0.80%,A Christmas Story,2012,,,
10,12/2/2012,2012,"$976,184 ","($128,128)","$1,411,202 ",69.17%,$95.74 ,$248.00 ,10196,12120,8,84.10%,-3.60%,A Christmas Story,2012,,,
11,12/9/2012,2012,"$1,130,429 ","$154,245 ","$1,411,202 ",80.10%,$98.15 ,$248.00 ,11517,12120,8,95.00%,10.90%,A Christmas Story,2012,,,
12,12/16/2012,2012,"$1,377,131 ","$246,702 ","$1,655,905 ",83.16%,$102.17 ,$248.00 ,13479,13635,9,98.90%,3.90%,A Christmas Story,2012,,,
13,12/23/2012,2012,"$1,491,488 ","$114,357 ","$1,655,905 ",90.07%,$116.67 ,$248.00 ,12784,13635,9,93.80%,-5.10%,A Christmas Story,2012,,,
14,12/30/2012,2012,"$1,558,922 ","$67,434 ","$1,653,128 ",94.30%,$131.67 ,$248.00 ,11840,12120,8,97.70%,3.90%,A Christmas Story,2012,,,
7,2/18/2001,2001,"$172,138 ","$172,138 ","$474,553 ",36.27%,$35.65 ,$75.00 ,4828,7637,7,63.20%,0.00%,A Class Act,2001,,,
8,2/25/2001,2001,"$177,917 ","$5,779 ","$547,760 ",32.48%,$34.11 ,$75.00 ,5216,8728,8,59.80%,59.80%,A Class Act,2001,,,
9,3/4/2001,2001,"$151,099 ","($26,818)","$547,760 ",27.58%,$31.71 ,$76.25 ,4765,8728,8,54.60%,-5.20%,A Class Act,2001,,,
10,3/11/2001,2001,"$139,753 ","($11,346)","$547,760 ",25.51%,$31.06 ,$76.25 ,4500,8728,8,51.60%,-3.00%,A Class Act,2001,,,
11,3/18/2001,2001,"$189,643 ","$49,890 ","$577,929 ",32.81%,$32.25 ,$81.25 ,5881,8776,8,67.00%,15.40%,A Class Act,2001,,,
12,3/25/2001,2001,"$206,428 ","$16,785 ","$577,929 ",35.72%,$37.57 ,$81.25 ,5495,8776,8,62.60%,-4.40%,A Class Act,2001,,,
13,4/1/2001,2001,"$167,706 ","($38,722)","$577,929 ",29.02%,$38.70 ,$81.25 ,4333,8776,8,49.40%,-13.20%,A Class Act,2001,,,
14,4/8/2001,2001,"$88,552 ","($79,154)","$577,929 ",15.32%,$42.84 ,$81.25 ,2067,8776,8,23.60%,-25.80%,A Class Act,2001,,,
15,4/15/2001,2001,"$129,048 ","$40,496 ","$577,929 ",22.33%,$41.23 ,$81.25 ,3130,8776,8,35.70%,12.10%,A Class Act,2001,,,
16,4/22/2001,2001,"$158,206 ","$29,158 ","$587,587 ",26.92%,$41.31 ,$81.25 ,3830,8776,8,43.60%,7.90%,A Class Act,2001,,,
17,4/29/2001,2001,"$141,537 ","($16,669)","$587,587 ",24.09%,$41.52 ,$81.25 ,3409,8776,8,38.80%,-4.80%,A Class Act,2001,,,
18,5/6/2001,2001,"$118,753 ","($22,784)","$587,587 ",20.21%,$34.44 ,$81.25 ,3448,8776,8,39.30%,0.50%,A Class Act,2001,,,
19,5/13/2001,2001,"$126,349 ","$7,596 ","$587,587 ",21.50%,$38.01 ,$81.25 ,3324,8776,8,37.90%,-1.40%,A Class Act,2001,,,
20,5/20/2001,2001,"$149,702 ","$23,353 ","$587,587 ",25.48%,$40.42 ,$81.25 ,3704,8776,8,42.20%,4.30%,A Class Act,2001,,,
21,5/27/2001,2001,"$158,418 ","$8,716 ","$587,587 ",26.96%,$44.08 ,$81.25 ,3594,8776,8,41.00%,-1.20%,A Class Act,2001,,,
22,6/3/2001,2001,"$117,384 ","($41,034)","$587,587 ",19.98%,$42.90 ,$81.25 ,2736,8776,8,31.20%,-9.80%,A Class Act,2001,,,
23,6/10/2001,2001,"$165,729 ","$48,345 ","$587,587 ",28.21%,$43.23 ,$81.25 ,3834,8776,8,43.70%,12.50%,A Class Act,2001,,,
7,3/16/2003,2003,"$130,302 ","$130,302 ","$232,600 ",56.02%,$41.91 ,$65.00 ,3109,3700,5,84.00%,0.00%,A Day In The Death Of Joe Egg,2003,,,
8,3/23/2003,2003,"$205,008 ","$74,706 ","$372,400 ",55.05%,$41.36 ,$65.00 ,4957,5920,8,83.70%,83.70%,A Day In The Death Of Joe Egg,2003,,,
9,3/30/2003,2003,"$211,403 ","$6,395 ","$372,400 ",56.77%,$41.07 ,$65.00 ,5148,5920,8,87.00%,3.30%,A Day In The Death Of Joe Egg,2003,,,
10,4/6/2003,2003,"$201,848 ","($9,555)","$372,400 ",54.20%,$36.55 ,$65.00 ,5522,5920,8,93.30%,6.30%,A Day In The Death Of Joe Egg,2003,,,
11,4/13/2003,2003,"$241,916 ","$40,068 ","$372,400 ",64.96%,$44.36 ,$65.00 ,5454,5920,8,92.10%,-1.20%,A Day In The Death Of Joe Egg,2003,,,
12,4/20/2003,2003,"$245,815 ","$3,899 ","$372,400 ",66.01%,$48.78 ,$65.00 ,5039,5920,8,85.10%,-7.00%,A Day In The Death Of Joe Egg,2003,,,
13,4/27/2003,2003,"$263,564 ","$17,749 ","$372,400 ",70.77%,$47.59 ,$65.00 ,5538,5920,8,93.50%,8.40%,A Day In The Death Of Joe Egg,2003,,,
