Show,Avg_Cap,Avg_Gross,
Chicago,0.8875,669831.47,2018
Children Of A Lesser God,0.8114,342426.4,2018
China Doll,0.7468,579739.2,2016
Chinglish,0.5224,285827,2012
Chita Rivera The Dancer's Life,0.5985,282060.63,2006
Chitty Chitty Bang Bang,0.985,1278380,2006
Chronicle Of A Death Foretold,0.607,103769,1995
Cinderella,0.997,1873246,2015
Cirque Dreams Jungle Fantasy,0.6663,516614,2008
Closer,0.6899,221620.71,1999
Clybourne Park,0.7612,381191.39,2012
Colin Quinn An Irish Wake,0.4645,60438.25,1998
Colin Quinn Long Story Short,0.645,183237.7,2011
Collected Stories,0.6479,134863.9,2010
Come Back Little Sheba,0.6727,186584.27,2008
Come Fly Away,0.6366,680302.15,2010
Come From Away,1.0169,1178534.56,2018
Company,0.5615,311317,2007
Company Original,1,173012,1995
Constellations,0.9878,539265.18,2015
Contact,0.6652,313800.09,2002
Copenhagen,0.7767,290058.67,2001
Coram Boy,0.4903,267061.67,2007
Cry Baby,0.6921,271806.93,2008
Curtains,0.647,510769.69,2008
Cymbeline,0.468,230226,2008
Cyrano De Bergerac,0.7458,215377.18,2012
Dame Edna Back With A Vengeance,0.5603,243409.11,2005
Dame Ednathe Royal Tour,0.7697,239065.07,2000
Dames At Sea,0.775,211207,2016
Dance Of Death,0.6335,281399,2002
Dance Of The Vampires,0.6623,470697.5,2003
Danny Gans On Broadway,0.3605,42181,1995
Dead Accounts,0.449,254255,2013
Dear Evan Hansen,1.0141,1690015.88,2018
Death Of A Salesman,0.9866,804311.38,2012
Def Poetry Jam,0.4077,120344.94,2003
Defending The Caveman,0.5762,97728.41,1997
Democracy,0.5331,248953.19,2005
Design For Living,0.831,229554.54,2001
Desire Under The Elms,0.392,230325,2009
Deuce,0.585,282196.79,2007
Dinner At Eight,0.8555,338101.25,2003
Dirty Blonde,0.6137,125201.11,2001
Dirty Rotten Scoundrels,0.7972,625999.03,2006
Disaster ,0.5675,330263.92,2016
Disgraced,0.683,368574.11,2015
Dividing The Estate,0.932,335231,2009
Doctor Zhivago,0.7629,456779.57,2015
Don't Dress For Dinner,0.7163,177505.83,2012
Donny And Mariea Broadway Christmas,0.795,431986,2011
Doubt,0.6589,293818.52,2006
Dracula The Musical,0.899,462006,2005
Dreams And Nightmares,0.9792,1206738.2,1996
Dreamthe Johnny Mercer Musical,0.6154,194814.88,1997
Driving Miss Daisy,0.7705,402470,2011
Drowning Crow,0.6783,161925.5,2004
Drseusshow The Grinch Stole Christmas ,0.548,647223,2008
Eclipsed,0.7216,337890.88,2016
Elaine Stritch At Liberty,0.7951,312515.5,2002
Electra,0.7659,268114.17,1999
Elf,0.791,696616,2013
Elf The Musical,0.807,594759,2010
Elling,0.6308,171709.25,2010
Enchanted April,0.4903,166290.9,2003
End Of The Rainbow,0.5685,311639.45,2012
Enron,0.6134,297814.8,2010
Epic Proportions,0.5056,87850.07,1999
Equus,0.6938,477190,2009
Escape To Margaritaville,0.6306,622230.25,2018
Eugene Onegin,0.445,97542,1997
Everyday Rapture,0.7513,196524.92,2010
Evita,0.788,1012569.5,2013
Exit The King,0.8096,446892,2009
Faith Healer,0.936,446085.18,2006
Falsettos,0.9735,686594,2017
Farinelli And The King,0.8833,752195.25,2018
Fela ,0.656,365333.75,2012
Fences,1.0105,992992.85,2010
Festen,0.5151,205994,2006
Fiddler On The Roof,0.983,1848030,2017
Finding Neverland,0.714,683762.29,2016
Finian's Rainbow,0.767,692665,2010
First Date,0.87,563371,2014
Fish In The Dark,0.9877,1063572.92,2015
Flower Drum Song,0.6325,327808.18,2003
Follies,0.7293,837850,2012
Follies 2001,0.876,372669.37,2001
Fool For Love,0.8262,286296.77,2015
Fool Moon,0.97,385125,1999
Footloose,0.7564,348875.26,2000
Forever Tango,0.6656,304136.8,2013
Forever Tango 1997 1998,0.6434,213615.93,1998
Fortune's Fool,0.6343,215944.95,2002
Fosse,0.8189,391751.32,2001
Frankie And Johnny In The Claire De Lune,0.4913,165331.8,2003
Frankie Valli And The Four Seasons On Broadway,0.921,633588.5,2016
Freak,0.8753,220128.96,1998
Frost Nixon,0.8269,447391.76,2007
Frozen,0.9873,1814763.59,2018
Fully Committed,0.7297,392703.17,2016
Fun Home,0.8689,426614.16,2016
Garden District,0.6304,72953.43,1995
Gem Of The Ocean,0.6995,250376.5,2005
George Gershwin Alone,0.4113,75382.21,2001
Getting And Spending,0.3821,60535.13,1998
Gettinthe Band Back Together,0.7968,232044.33,2018
Ghetto Klown,0.7657,308977,2011
Ghost,0.7243,579977.04,2012
Gigi,0.6706,502001.07,2015
Glengarry Glen Ross,0.895,900885.33,2013
Glory Days,0.278,37094.33,2008
God Of Carnage,0.6149,350233.35,2010
God Said  Ha ,0.4002,57262,1996
Godspell,0.7142,290947.46,2012
Golda's Balcony,0.822,217744,2005
Golden Boy,0.7413,406292.67,2013
Golden Child,0.3953,82843.9,1998
Good People,0.9746,370339.25,2011
Gore Vidal's The Best Man,0.8097,678879.78,2012
Grace,0.673,418788,2013
Grease,0.997,768163,2009
Grey Gardens,0.7299,395556.03,2007
Groundhog Day,0.8585,725382.78,2017
Guys And Dolls,0.8457,537924.26,2009
Gypsy 2003 2004,0.6997,485123.18,2004
Gypsy 2008_2009,0.9075,782102.5,2009
Hair,0.5138,345375.8,2011
Hairspray,0.989,921534,2009
Hamilton,1.0176,3076430.76,2018
Hamlet 1995,0.9755,339662.4,1995
Hamlet 2009,0.875,770019.38,2009
Hand To God,0.945,425669,2016
Hands On A Hardbody,0.7434,199678.5,2013
Harry Connick Jr ,0.9517,873590,2010
Harry Potter And The Cursed Child,1,2046974.48,2018
Harvey,0.9893,566900.83,2012
Having Our Say,0.6702,124027.3,1995
Head Over Heels,0.7466,271044.2,2018
Heartbreak House,0.8436,226983.14,2006
Hedda Gabler 2001 2002,0.6535,210370.5,2002
Hedda Gabler 2009,0.8014,228519.83,2009
Hedwig And The Angry Inch,0.7871,513352.97,2015
Heisenberg,0.8923,376370.58,2016
Hellodolly ,0.9371,1248498.32,2018
Henry IV,0.9723,534262.67,2004
High,0.6422,89991,2011
High Fidelity,0.436,274029,2006
High Society,0.6015,332616.23,1998
Holiday Inn,0.899,602067,2017
Holler If Ya Hear Me,0.6163,172782.57,2014
Hollywood Arms,0.275,98924,2003
Home For The Holidays,0.33,68831,2017
Honeymoon In Vegas,0.6135,383145.71,2015
Honour,0.4879,102983.55,1998
Hot Feet,0.3917,269053.29,2006
How To Succeed In Business Without Really Trying,0.7689,803702.29,2012
How To Succeed In Business Without Really Trying 95 96,0.9413,471447.71,1996
Hugh Jackman Back On Broadway,1.019,2056957,2012
Hughie,0.7573,289037.71,2016
I Am My Own Wife,0.6718,181024.63,2004
I'll Eat You Lasta Chat With Sue Mengers,1.0026,735498.23,2013
I'm Not Rappaport,0.3962,88153,2002
I'm Still Here   Damn It ,0.842,186027,1999
If Then,0.7833,652382.36,2015
If You Ever Leave Me I'm Going With You,0.434,136104.9,2001
Il Divo A Musical Affair,0.955,1308223,2013
Imaginary Friends,0.491,216774.43,2003
Impressionism,0.5473,252414.36,2009
In My Life,0.3857,141560.36,2005
In The Heights,0.9855,1067089,2011
In The Next Room Or The Vibrator Play,0.7305,274524.5,2010
In Transit,0.8223,276988.38,2017
Indecent,0.6789,342175.22,2017
Indiscretions,0.754,280896,1995
Inherit The Wind,0.8466,427406.87,2007
Into The Woods,0.6887,387674.16,2002
Irena's Vow,0.5356,191882,2009
Irving Berlin's White Christmas,0.816,759048,2010
Irving Berlin's White Christmas 2008 2009,0.6783,872947.75,2009
Is He Dead ,0.5556,198483.1,2008
It Ain't Nothin But The Blues,0.38,140743.5,2000
It's A Slippery Slope,0.9825,37794.5,1997
It's Only A Play,0.7403,614855.91,2015
It Shoulda Been You,0.7346,375288.19,2015
Ivanov,0.892,362244,1998
Jackie Mason Freshly Squeezed,0.4883,114026.46,2005
Jackie Mason Politically Incorrect,0.416,57491,1995
Jackie Mason's Laughing Room Only,0.4683,169271.5,2003
Jackie Mason Much Ado About Everything,0.8428,142355.1,2000
Jackie An American Life,0.4548,117418.67,1998
James Joyce's The Dead,0.6453,248716.88,2000
Jane Eyre,0.6421,243732.13,2001
Jay Johnson The Two And Only,0.2561,58701.1,2006
Jekyll And Hyde,0.848,469454,2001
Jekyll & Hyde,0.5482,411706.67,2013
Jerry Seinfeld,0.999,774652,1998
Jersey Boys,0.9923,1487796,2017
Jerusalem,0.736,381172.29,2011
Jesus Christ Superstar,0.7213,604610.61,2012
Jesus Christ Superstar 2000,0.7332,470184.79,2000
Jitney,0.9662,327158.27,2017
Joe Turner's Come And Gone,0.6475,232478.92,2009
John Lithgow Stories By Heart,0.8893,395797.22,2018
Journey's End,0.3728,139713.83,2007
Juan Darien,0.751,207382,1997
Judgment At Nuremberg,0.5364,155814.62,2001
Julius Caesar,0.9211,610221.64,2005
Jumpers,0.7266,282654.14,2004
Junk,0.743,465747,2018
Kat And The Kings,0.63,211530,2000
Kathy Griffin Wants A Tony,0.972,510940,2011
Kiki And Herb Alive On Broadway,0.5062,123936,2006
King Charles III,0.8716,627846.2,2016
King David,0.8255,338656.5,1997
King Hedley II,0.5693,206633.25,2001
King Lear,0.9609,283225.4,2004
