Show,Avg_Cap,Avg_Gross,
The Crucible,0.8936,584355.75,2016
The Curious Incident Of The Dog In The Night Time,0.7463,458271.39,2016
The Deep Blue Sea,0.851,114938.25,1998
The Diary Of Anne Frank,0.6511,195976.38,1998
The Dinner Party,0.679,267455.4,2001
The Drowsy Chaperone,0.6791,597044.9,2007
The Elephant Man,1.0105,951477.25,2015
The Encounter,0.817,339273,2017
The Farnsworth Invention,0.5434,248101.78,2008
The Father,0.7555,263036.15,2016
The Frogs,0.8924,480717.5,2004
The Front Page,0.9742,1095732.8,2017
The Gathering,0.2814,72196.6,2001
The Gershwins' Fascinating Rhythm,0.5407,161782,1999
The Gin Game,0.906,425068,2016
The Glass Menagerie,0.7499,362426.47,2017
The Goat Or Who Is Sylvia ,0.6796,184476.23,2002
The Good Body,0.3733,93670.56,2004
The Graduate,0.5597,234598.44,2003
The Green Bird,0.5053,178799.7,2000
The Heidi Chronicles,0.6365,325702.2,2015
The Heiress,0.8387,558440,2013
The History Boys,0.9603,653309.35,2006
The Homecoming,0.455,224688.67,2008
The House Of Blue Leaves,0.8573,475643.42,2011
The Humans,0.9217,750229,2017
The Iceman Cometh,0.9664,898968.73,2018
The Illusionists Live On Broadway,0.843,1801327,2016
The Illusionists Turn Of The Century,0.845,2397106,2017
The Illusionists Witness The Impossible,0.975,2217405,2015
The Importance Of Being Earnest,0.7632,299164.65,2011
The Invention Of Love,0.8294,217714.56,2001
The Judas Kiss,0.7611,308605.47,1998
The King And I,0.8253,681233.42,2016
The Last Night Of Ballyhoo,0.5954,137806.81,1998
The Last Ship,0.827,868838,2015
The Lieutenant Of Inishmore,0.5997,190405.35,2006
The Life,0.6871,272225.17,1998
The Light In The Piazza,0.6791,383578.67,2006
The Lion In Winter,0.9031,139988.07,1999
The Lion King,0.9957,2198642.12,2018
The Little Dog Laughed,0.4826,202384.14,2007
The Little Foxes,0.9616,443791.57,2017
The Little Mermaid,0.8727,818827.37,2009
The Lonesome West,0.3433,77416.75,1999
The Look Of Love,0.6926,213145.45,2003
The Lyons,0.5271,193007,2012
The Man Who Came To Dinner,0.915,256948.33,2000
The Man Who Had All The Luck,0.911,237319.82,2002
The Merchant Of Venice,1.0174,1123007.8,2011
The Miracle Worker,0.8096,210883.38,2010
The Motherf**ker With The Hat,0.864,580629.06,2011
The Mountaintop,0.8315,643484.5,2012
The Music Man,0.766,470264.35,2001
The Mystery Of Charles Dickens,0.2608,63498,2002
The Mystery Of Edwin Drood,0.7342,360647.7,2013
The Nance,0.7481,407767.9,2013
The Normal Heart,0.8808,353142.08,2011
The Norman Conquests,0.7562,266011.31,2009
The Odd Couple,0.9873,813527.48,2006
The Old Neighborhood,0.6161,128988.47,1998
The Other Place,0.8513,267230.78,2013
The Pajama Game,0.9795,403872.91,2006
The Parisian Woman,0.7453,436278.7,2018
The Pee Wee Herman Show,0.918,993845,2011
The People In The Picture,0.6315,205785.17,2011
The Performers,0.6113,184304.75,2012
The Phantom Of The Opera,0.9219,1085164.74,2018
The Philanthropist,0.7361,205308.75,2009
The Pillowman,0.8407,344084.08,2005
The Pirate Queen,0.7129,603635.93,2007
The Pitmen Painters,0.7207,194168.08,2010
The Play's The Thing,0.828,32682,1995
The Play That Goes Wrong,0.7583,345254.41,2018
The Play What I Wrote,0.6113,168730.07,2003
The Present,0.8001,815443.25,2017
The Price,0.9985,580521.46,2017
The Price 1999 2000,0.6064,178881.6,2000
The Producers,0.6055,517144.44,2007
The Rainmaker,0.8035,222683.75,2000
The Rascalsonce Upon A Dream,0.918,748597.67,2013
The Real Thing,1,462361,2015
The Realistic Joneses,0.8288,482927.12,2014
The Rehearsal,0.975,92761,1997
The Retreat From Moscow,0.5998,167653.67,2004
The Ride Down Mtmorgan,0.6242,219361.94,2000
The Ritz,0.7528,264502.77,2007
The Rivals,0.6563,294815.75,2005
The River,1.0047,625509.67,2015
The Road To Mecca,0.6552,191047.7,2012
The Rocky Horror Show,1.039,285946,2002
The Rose Tattoo,0.6705,94540.73,1995
The Royal Family,0.7967,202122,2009
The Scarlet Pimpernel,0.613,356377,2000
The Scottsboro Boys,0.7399,275041.1,2010
The Seafarer,0.684,256726.85,2008
The Seagull,0.8091,459338.64,2008
The Search For Signs Of Intelligent Life In The Universe,0.7405,180889.05,2001
The Sisters Rosensweig,0.6293,179458.62,1994
The Smell Of The Kill,0.5088,66672.5,2002
The Snow Geese,0.7986,216016.64,2013
The Sound Of Music,0.7814,442657.24,1999
The Story Of My Life,0.354,88203.67,2009
The Sunshine Boys,0.573,163249.88,1998
The Tale Of The Allergist's Wife,0.6309,247062.7,2002
The Tempest,0.8385,384106.42,1995
The Temptations And The Four Tops On Broadway,0.747,819461,2015
The Terms Of My Surrender,0.7832,323811.54,2017
The Testament Of Mary,0.7983,213300.5,2013
The Threepenny Opera,0.8979,414725.36,2006
The Times They Are A Changin ,0.8145,329520.13,2006
The Trip To Bountiful,0.7093,465480.86,2013
The Velocity Of Autumn,0.6672,108923.4,2014
The Vertical Hour,0.6088,323577.4,2007
The Violet Hour,0.7899,203798.1,2003
The Visit,0.6458,202710.08,2015
The Wedding Singer,0.6784,499893.6,2006
The Weir,0.662,190968.75,1999
The Wild Party,0.6309,279965.86,2000
The Winslow Boy,0.6781,217481.82,2013
The Woman In White,0.6489,561563.75,2006
The Women,1.028,355190,2002
The Year Of Magical Thinking,0.7741,303886.13,2007
The Young Man From Atlanta,0.4536,103091.31,1997
This Is Our Youth,0.862,569187,2015
Thoroughly Modern Millie,0.691,482015.84,2004
Thou Shalt Not,0.512,179459,2002
Three Days Of Rain,0.9958,952324.67,2006
Three Sisters,0.9979,155354.91,1997
Three Tall Women,0.9886,818008.94,2018
Thurgood,0.7159,242798.21,2008
Time And The Conways,0.8139,286244.36,2017
Time Stands Still,0.6988,409411,2011
Titanic,0.7701,384160.31,1999
Title Of Show,0.4591,145875.27,2008
To Be Or Not To Be,0.4693,129560.89,2008
Tommy,0.47,229369,1995
Top Girls,0.735,201050.55,2008
Topdog Underdog,0.6266,245682.14,2002
Translations,0.8278,214123.1,2007
Travesties,0.8309,362969.75,2018
Triumph Of Love,0.624,271068,1998
Tru,0.876,134456,1990
True West,0.857,209806.33,2000
Tuck Everlasting,0.7696,327104.56,2016
Twelfth Night,0.9505,327536.36,1998
Twelfth Night Richard III,1.0169,892826.14,2014
Twelve Angry Men,0.8318,274774.35,2005
Twentieth Century,0.8816,276368.64,2004
Uncle Vanya,0.8077,236674.2,2000
Uncle Vanya 1995,0.4819,60263.86,1995
Urban Cowboy,0.2362,107388.92,2003
Urinetown,0.884,310554.33,2004
Vanya And Sonia And Masha And Spike,0.8777,525217.2,2013
Venus In Fur,0.6457,333437.89,2012
Via Dolorosa,0.6337,116751.47,1999
Victor Victoria,0.7767,532190.57,1997
Vincent In Brixton,0.6787,159665.75,2003
Violet,0.836,330830.9,2014
Voices In The Dark,0.5066,113184.91,1999
Wait Until Dark,0.8179,294652.29,1998
Waiting For Godot,0.9533,460550.33,2009
Waiting In The Wings,0.6229,272997.86,2000
Waitress,0.9177,953230.29,2018
War Horse,0.99,948043,2013
War Paint,0.844,729739.38,2017
Well,0.3357,116228.8,2006
West Side Story,0.961,1403667,2011
Who's Afraid Of Virginia Woolf ,0.6698,283715.56,2013
Whoopi,0.656,235408.6,2005
Wicked,0.9754,1798869.38,2018
Wishful Drinking,0.8183,343577,2010
Wit,0.8205,209309.55,2012
Wolf Hall Parts One Two,0.6137,623181,2015
Women On The Verge Of A Nervous Breakdown,0.806,377877,2011
Wonderful Town,0.642,519693.2,2005
Wonderland,0.8343,554871.38,2011
Xanadu,0.7017,224447.56,2008
You Can't Take It With You,0.6359,424268,2015
You're A Good Man Charlie Brown,0.469,172894,1999
You're Welcome America A Final Night With George W Bush,0.9768,840381.25,2009
